"nama","waktu","ulasan"
"moh pandoyo","3 bulan lalu","Sekian kali ke tangkuban perahu tetapi tetap tidak bosan, gunung legend di Jawa barat, gunung tangkuban perahu dengan ketinggian diatas 1800 mdpl, Bau belerang Masih menyengat, ada kawah lain di sekitar kawah utama"
"Trionohendra Safei","3 bulan lalu","Tambah rapi ...."
"isroi isroi","3 bulan lalu","Wisata alam yang menarik untuk dikunjungi. Jalur ke gunung ini banyak wisata alam lainnya. Jadi sekali naik bisa ke beberapa tempat. Termasuk ke kawah domas dan hutan2 lainnya. …"
"Danang Dimas","3 bulan lalu","Bersih, dingin, tapi minim spot foto"
"huzincold mkz","3 bulan lalu","Dingin pemandangan nya sangat bagus"
"15_Fibian Firsza A.","3 bulan lalu","Sangatt cocok untuk refresing"
"SANGHWAN JEON","3 bulan lalu",""
"Yericho Ruhukail","3 bulan lalu","Tempatnya wisata bagus kunjungi"
"Sung Ali susanto","3 bulan lalu",""
"Caminkkk 23","3 bulan lalu",""
"Sabila Junika","3 bulan lalu","Terakhir kesini agak sore jadi ga bisa lama-lama, di depan sebelum pintu masuk suka ada warga kaya nyegat entah nawarin tiket atau apa, kesini enaknya agak siangan sih biar keliatan jelas."
"harjanto anto","3 bulan lalu","Ada space bagus sayang jarang yang tahu,....setelah pasar pernik2"
"Aditya Ingsunsari","3 bulan lalu","tap"
"intang saleh","3 bulan lalu","Cantik kawahnya dan pemandangan alamnya"
"Erlin Najwa","3 bulan lalu","Bagus banget sihhhh, rekomend banget kalo ke subang wajib ke sini. Nyesel banget pas study tour gak foto"" ,pengen banget kesana lagi bareng seangkatan."
"Aank Tantawi","3 bulan lalu",""
"Henry suryawan","3 bulan lalu","Tambah bagus...
Saran penjual manik² terlalu banyak juga..mengganggu pengunjung."
"Yohanes Nathannael","3 bulan lalu","kalo musim hujan hati hati bawa motor ya apa lagi pulang terus harga masuk nya 39k per orang parkir 15rb kira kira"
"Forganda manullang","3 bulan lalu","Tempat dan jalurnya indah sangat berkesan, tapi sayang sekali para pedagang pernak pernik nya banyak omong dan bermulut manis menawarkan membantu ambil foto dan terus mengikuti, setelah itu barang yg dijual fengan harga gk masuk akal. Parah"
"Audry Ady Kusuma","3 bulan lalu","Tempat dingin. Disarankan pakai masker soalnya bau belerang sangat kuat. Lebih bagus view dari atas."
"Wisma Auryn","3 bulan lalu",""
"Glaven Archangelo Kartawiria","3 bulan lalu",""
"Mudarlis","3 bulan lalu","Petualangannya enak, nyaman dan indah."
"권지희","3 bulan lalu","Saya tahu maksud Anda, tempat ini patut dikunjungi setidaknya sekali.
Pemandangan yang Anda lihat dengan mata Anda tidak dapat ditangkap dalam sebuah foto. …"
"Lusiana Adriani","3 bulan lalu","Area sangat sejuk, waktu itu sampai disana jam 07:30 dan masih antri untuk masuk. Lebih baik pagi-pagi jadi belum terlalu ramai, dan gampang dapat parkir.
Ada kuda juga buat ditunggangi, minta fotoin sama abang-abang penjual gelang …"
"Tata Royana","3 bulan lalu",""
"Amran wijaya Wijaya","3 bulan lalu",""
"D1L YT","3 bulan lalu",""
"hanrehan savv04","3 bulan lalu","bagus, dingin, indah"
"De Ramdan","3 bulan lalu","Info loker dong"
"Rian Faisol","3 bulan lalu",""
"NASI KOTAK","3 bulan lalu","potensi yang sangat menakjubkan, tapi sayang banyak scams, pedagang guide dll, sungguh sangat di sayangkan, semoga cepat berbenah"
"stevianus audiar","3 bulan lalu",""
"Sunaryo Ngampel","3 bulan lalu",""
"Ming Thong Chai","3 bulan lalu","Foreigners are charged 300k! That's way too much compared to Kawah Putih, also too many scammers avoid this place if u are foreigners."
"Tiga Putra (BONCU)","4 bulan lalu","Dingin"
"Muhammad Nauval","4 bulan lalu",""
"Donny Wierya pratama","4 bulan lalu","nice experience

setelah dikelola swasta ,bnyk kemajuan, …"
"Sulthanul Hakim","4 bulan lalu",""
"Youngeun Lee","4 bulan lalu","Kunjungan hari kerja. Dibutuhkan waktu sekitar 3 setengah jam untuk sampai dengan mobil dari Jakarta. Saya lepas satu bintang karena harga untuk asing dan lokal terlalu berbeda. (Jika Anda memiliki Kitas, Anda bisa mendapatkan diskon.) …"
"Irvan Supriatna","4 bulan lalu",""
"Mo At","4 bulan lalu","Suatu tempat pada jaman dulu tidak sebanding dengan kerumitannya karena masuknya sangat mahal, dan jika ingin turun juga harus membayar tiket, dan itu mahal dan sia-sia melelahkan, dan hanya ada satu tempat di bawahnya bagi Anda untuk mencelupkan kaki Anda dan keluar."
"Ajedaefa","4 bulan lalu","What a beautiful view. Saran aku kalo kesini pake masker aja kalau gak kuat sama bau belerangnya. Bus gak bisa naik sampe ke parkiran atas, dari parkiran bawah bisa pake ontang anting. Ada museumnya juga"
"Nurul Faizah","4 bulan lalu","Gunung yang indah"
"Ari Wahab","4 bulan lalu",""
"syarif hidayatulloh","4 bulan lalu",""
"Lisa Ros Yulia Sari","4 bulan lalu","Kmrn masuk situ 1 mobil isi 4 org dwsa 2 anak dibwh 5th total byrr 155k.. G tau per org dihitung brp..
Penjualnya ramah2,difotoin gratis tp pas slse diksh uang ga mau, cm disuru beli …"
"Silvia Wulandari","4 bulan lalu",""
"Affandi Fauzan Syawal","4 bulan lalu","Tangkuban Parahu adalah salah satu objek wisata terkenal di Jawa Barat, Indonesia, yang terletak sekitar 30 kilometer di utara Bandung. Gunung berapi yang masih aktif ini terkenal dengan bentuknya yang menyerupai perahu terbalik, dan …"
"Jacka Rahman","4 bulan lalu",""
"Rahmat Hadiwibowo","4 bulan lalu","Mantap"
"Lie Siang","4 bulan lalu",""
"yunita Prihapsari","4 bulan lalu",""
"Mariani tjio","4 bulan lalu","Orang Bandung, tapi baru 2x ke tangkuban perahu.
Termyata sekarang sudah sedikit berubah..  cukup dikelola dengan baik.
Tiket masuk berbayar. …"
"Rifka Nenden pratiwi","4 bulan lalu","Wisata alam yang sejuk nan indah.. cocok banget deh kalo jalan jalan bareng keluarga"
"Hilman Hakimadin","4 bulan lalu",""
"Siti Nursyifa","4 bulan lalu",""
"Rosiana Dewi","4 bulan lalu","Naik pagi pagi banget dan dapet view secantik ini, jalannya mulus parkir juga banyak."
"Martin Oedendorfer","4 bulan lalu",""
"Resdika Januardi Aziz","4 bulan lalu","Banyak yang bantu foto gratis"
"rizky widodo","4 bulan lalu","Bagus !
Tapi sayang para pedagang yang nawarin terlalu banyak sehingga tidak bisa leluasa untuk berwisata"
"Naya Naya","4 bulan lalu",""
"Bubu Bubu","4 bulan lalu","ga banget buat kesini lagi, orang yang jualan nya tengil² segala ngomongin gini gitu giliran di tegur malah kabur 11/12 sama cikole, bedanya disini ga terlalu banyak calo aja cuma di pintu masuk doang, banyakin ati² kalo ke wisata yang di jawa barat mah, kalo ga calo ya tembak harga😂 …"
"Ari Hardiansyah","4 bulan lalu",""
"katarina rahel","4 bulan lalu",""
"Usman Bakhri","4 bulan lalu","Tempat nya sejuk nyaman dan indah"
"Bon Bon","4 bulan lalu","What A beautiful scenery!
Perjalanan dari gerbang depan ke kawah cukup jauh, melewati jalan mulus yang menanjak dan berkelok, hutan, dingin dan berkabut. …"
"MO E","4 bulan lalu",""
"M Renaldi","4 bulan lalu","View alam yang indah..."
"Suhaili Faizzi","4 bulan lalu","First and last, entrance fee is way too much for foreigner, 200,000 IDR on weekdays, 300,000 IDR on weekend. …"
"HS","4 bulan lalu","Sekarang perjalanan lbh nyaman karena jalanannya mulus sepanjang menanjak menuju kawah.
Pagar pembatas lbh kokoh dan terlihat rapi.  Situs terlihat terpelihara dan …"
"Dimas Maulana Wibowo","4 bulan lalu",""
"Khey Almira","4 bulan lalu",""
"Imam Supriyanto","4 bulan lalu",""
"Azmi Sapik11","4 bulan lalu",""
"Basyar Nasal","4 bulan lalu","Tempat yang begitu indah.. jadi pengen kesini lagi petugasnya juga ramah belanja pun tidak menguras dompet.."
"S.P Lau","4 bulan lalu","Kitas dapat menghemat kantong Anda 10 kali lipat dari biaya masuk!

Pemandangannya bagus, tapi pemandu wisata di gunung tidak memungut biaya di …"
"심재승","4 bulan lalu","Kalau Jepang punya Hakone, Indonesia punya Tangkuban Prahu."
"Rahayu Indra Rahadian","5 bulan lalu",""
"Nita Rahmawati","5 bulan lalu",""
"Sunarsih Thea","5 bulan lalu",""
"Musriyatun genzhanestha","5 bulan lalu",""
"Mulyad1 Arm98","5 bulan lalu","Masya Allah"
"MAS ANDI","5 bulan lalu","Senang"
"steven endrow","5 bulan lalu","asriiii"
"Edgi Evans Setiawan","5 bulan lalu","Tempatnya.. Keren, harga tiket lumayan terjangkau. . Cuma sayangnya pas ke sana kabutnya lagi penuh..dan banyak bayar2 parkir dlln☺🤦🏻‍♂️ …"
"Bakri Najwa","5 bulan lalu","Seru"
"Tedy Riyanto","5 bulan lalu","Tanya harga dulu sebelum beli kopi diwarung deket kawah harganya ngawur"
"Bay Galihovic","5 bulan lalu","2009 kesini"
"wahyudin sastrawiguna","5 bulan lalu","Tempat wisata yg patut anda kunjungi"
"Onalien Bilien","5 bulan lalu","Harga masuknya sangat-sangat mahal. Harga tiketnya 300.000, manfaatkan turis.. Saya tidak masuk. Saya pergi ke resor lain,,, sedangkan saudara-saudara Indonesia hanya mengenakan biaya 30.000."
"Cecilia Debby","5 bulan lalu","tempatnya bagus sih, tapi mahal banget.
weekend 30k/orang, ada tiket masuk roda 2 3500 d weekend terus parkirnya 14500😂
berdua kesana abis 78k langsung. …"
"rellx yoe","5 bulan lalu","keren cakkk pemandangan oke cuman agak kotor masih ada sisa sampah"
"jay daging","5 bulan lalu",""
"Artika Prisma Zulaikah","5 bulan lalu","Adem asri dan tenang

Minusnya tiket masuk cuma free ke kawah ratu aja klo mau ke kawah domas bayar lagi huhuhu"
"Rie","5 bulan lalu","Anda dapat menikmati pemandangan yang indah dan sangat cocok untuk melepaskan diri dari panas. …"
"Dyana Permatasari","5 bulan lalu","tadinya kita mau ke upas hill dan ga tau jalannya, ternyata malah ke gunung Tangkuban perahu nya, pas aku mau masuk penjaganya tengil bgt padahal kita lagi bingung karna kurang tau bukannya ngasi tau malah ngetawain sebel banget"
"sni yanto","5 bulan lalu","sangat seru,,"
"ADE WULANDARI","5 bulan lalu",""
"Willy Dhani","5 bulan lalu","Cocok buat hiling"
"Sansanti","5 bulan lalu","Salah satu tempat wisata legenda yg masuk list tujuan wisataku, Alhamdulillah udah kesampean 🥰 …"
"Carwiyah Krwg","5 bulan lalu",""
"Halwa Aqila.F","5 bulan lalu","Kesini tahun lalu sama temen-temen. Pas banget lagi cerah waktu disana. Ada yang jual gelang jadinya belii kembaran sama temen 💗 …"
"Obik Hunting","5 bulan lalu",""
"Febri","5 bulan lalu","Beautiful scenery."
"Zana Ali Ramdhani","5 bulan lalu",""
"Wahidin Aceng","5 bulan lalu",""
"tyaa agis","5 bulan lalu","aku masuk kemaren weekend, shock berat karna awal masuk disuruh beli masker paksa,masker duckbill isi 2pcs 10rb. d iming2i disana wajib pake masker.  tiketnya 30x2 org parkir motor 18rb jadi total d locketnya 78rb dan itu menurutku kemahalan gasi?wkwk uda gitu parkiran d atas bayar lagi anjrit 5k"
"Novia Wulansari06","5 bulan lalu","Bagus ,cmn bau belerang 😅 …"
"febria rs","5 bulan lalu","Gunungnya dan kawahnya bagu maashaaAllah.  Aksesnyabjuga mudah.. .. parkirannya luas.... Hanya saja itu penjual asongannya strobwri  yang rada2 bikin kapok.. dan perlu saya sampaikan karena rasanya berbahaya.. kita maksud baik beli karena …"
"suka tak suka","5 bulan lalu",""
"Limon","5 bulan lalu",""
"Charles Firmansyah","5 bulan lalu","Sangat indah pemandangan nya dan sangat rekomendasi 👍 …"
"Galang Andorio","5 bulan lalu",""
"Kholifah Kholifah","5 bulan lalu",""
"WISNU TUNGGAPARJUANGAN B","5 bulan lalu","Ok"
"Nugroho Wibowo","5 bulan lalu",""
"Boby nurdiansyah","5 bulan lalu",""
"Babah Wafda","5 bulan lalu",""
"Donpaul Zhai","5 bulan lalu","Ini adalah gunung berapi aktif dengan sumber air panas di kaki gunung. Sangat menyenangkan untuk berendam di sumber air panas setelah melihat gunung berapi."
"Amar Ustd","5 bulan lalu",""
"Harry Hendrawan","5 bulan lalu","Tempatnya bersih"
"wintolo bhendol","5 bulan lalu","Relaxs.."
"nazwaa s","5 bulan lalu","cocok banget buat wisata bareng keluarga🤩 adem, nyaman, dan puas banget dapet view seindah ini! …"
"Sharkhan7","5 bulan lalu","Sangat indah, hawanya sejuk"
"Darma Sangkuriang","5 bulan lalu","Kalau bisa,toilet ny di tambah lg.."
"Tedi Setiadi","5 bulan lalu",""
"wahyu pujiarto","5 bulan lalu","Yg mau kesini harap pake masker soalnya d gapura ada oknum yg mewajibkan beli masker,,, padahal d atas aman2 aja ga ada aturan gitu,,"
"Ilham sukmone","5 bulan lalu","Masih seperti dulu, udara sejuk dan semilir angin. Bau belerang menyambut kedatangan kita. Kawah ratu semakin bersih... Ongkos naik kuda relatif standar 75k"
"Prasetyo Pras","5 bulan lalu","Luar biasa"
"Budiartha Putu","5 bulan lalu","Bau belerangnya menyengat sekali, gak sempat lama2 foto karena tiba2 hujan"
"Lavelia Nor sela Sela","5 bulan lalu","TANGKUBAN PARAHU
Tangkuban Parahu adalah salah satu tempat wisata yang ada di Jawa Barat yang berada di desa Ciater Kabupaten Subang. Gunung ini sangat cocok dikunjungi karena …"
"Aio","5 bulan lalu",""
"HD HT","5 bulan lalu",""
"DIMAS AFRIYAN JIA LUBIS","5 bulan lalu","MOHON PEMERINTAH SETEMPAT  HAPUS BERSIH PUNGLI DISINI"
"Fitra Budi Witanto (MassTra)","5 bulan lalu","Bagus bgt view nya.....
Bakal kesana lagi.... Byk yg jual pernak pernik..."
"Zai","5 bulan lalu","Are you on vacation in the Lembang area? Then Tangkuban Perahu is a must-visit tourist spot, there is not much to see here other than the beautiful mountain and getting to know more about the mountain including the story and history behind …"
"Zams Bond","5 bulan lalu",""
"Dimas Maulana","5 bulan lalu","Bagus tempatnya"
"Yoe Nazwir","5 bulan lalu","Terlalu banyak orang yang datang mengganggu saya.. Saya ingin menjual ini.. Saya ingin Anda memotretnya.. Saya berharap pihak berwenang di sana dapat menghilangkan semua orang ini.. Maafkan saya.. Harga tiketnya juga yang paling mahal.. …"
"黃海紅","5 bulan lalu","Tempat yang sangat bagus"
"Muhamad Ganjar Taufik19","5 bulan lalu","Tempat yang bagus view yang cantik rekomen banget deh!!!"
"Glenvicia Sim","5 bulan lalu","A magnificent active volcano. There are two craters - Kawah Ratu (big) and Kawah Domas (small). …"
"Riswati Bkl","6 bulan lalu","ngak sia"" perjalanan yang saya tempuh bareng bestie untuk menuju Tangkuban perahu, sungguh menakjubkan 😘 …"
"Irfan Zaki M","6 bulan lalu","Kesan pertama setelah menggingat waktu kecil dibawa kesini pas udah gede balik lagi kesinii 🫶🏻🥹 …"
"Mirzah Spdi","6 bulan lalu",""
"Triadi Setiawan","6 bulan lalu",""
"Yung Indrajaya","6 bulan lalu",""
"Binyamin WP","6 bulan lalu","Keren luar biasa"
"Rety Denarty","6 bulan lalu",""
"Asyadi Kurniawan","6 bulan lalu","Dingin,enak,pas buat refreshing"
"ILHAM ALFARIZI","6 bulan lalu","Kerenn"
"Muza yana santika","6 bulan lalu",""
"Alland Adrian Josep","6 bulan lalu","Keren ,, tidak terlalu panas ,, cuma banyak banget penjual2 disana ,, agak kurang nyaman aja."
"Dede Mahmud","6 bulan lalu","Gng Tangkuban perahu perpect pokonya👍 …"
"Brigitta Eka","6 bulan lalu","KEREEN... Wajib balik lagi melihat keindahan Gn. Tangkuban Perahu"
"andi lau","6 bulan lalu",""
"Ferry Yulianto","6 bulan lalu","Tempat yg sejuk dan indah, pemandangan bagus bgt"
"muzakky ibu","6 bulan lalu","Tempat yang bagus,
Tiket juga murah"
"K.Y NG","6 bulan lalu",""
"Ozone zone","6 bulan lalu","Mahal😅😅😅
Tarif Masuknya 78.000/motor,
Padahal gw bukan turis luar negri,
Kocak😅😅😅 …"
"Moon Moon","6 bulan lalu",""
"Lionel Davies Sesa","6 bulan lalu","The legend of Sangkuriang explains how this beautiful stratovolcano came to be."
"Rosyid An","6 bulan lalu","Mantapp dingin kopi segelas 10 rb mantapp yg jual mantap"
"Nicola Trinca","6 bulan lalu","Huge price discrimination towards foreigners. 10 times as much is pure greed. What a shame."
"farij_ arc","6 bulan lalu","Bagus"
"MBLX Art Supporting","6 bulan lalu",""
"MAMAN","6 bulan lalu","Tempat cocok buat liburan"
"Abdul Rajis","6 bulan lalu","Lumayan lah buat wisata."
"asep sutirto","6 bulan lalu",""
"Sayama Haruo","6 bulan lalu","Tiket 20k/orang hari kerja. Weekends 30k/orang.

Berbagai aktivitas seru dan menarik bisa anda dan rombongan lakukan di Gunung …"
"Yudika Saragih","6 bulan lalu",""
"DedSec","6 bulan lalu","Nice place to visit, but too many scammer seller with overpriced drinks and souvenir."
"BR H","6 bulan lalu","stunning scenery but entry ticket is ex and only includes the main crater area which is rather limited"
"Mathieu Bordet","6 bulan lalu","Harga berlebihan: 200.000 untuk wisatawan saat weekday dan 300.000 untuk akhir pekan.
Salah satu kawah ditutup, kawah lainnya hanya dapat diakses dengan membayar …"
"Peter","6 bulan lalu","Nice place, but a ripoff for foreign tourists, since they charge you 10 times the local price... Terima kasih!"
"Tedi alrichard","6 bulan lalu",""
"Joe","6 bulan lalu",""
"Herry Kurniyanto","6 bulan lalu",""
"송형권","6 bulan lalu","Biaya masuk untuk orang Indonesia: Rp20.000
Biaya masuk orang asing: Rp200.000 + biaya parkir: Rp50.000
Negara yang menganggap orang asing sebagai hukou
Semakin tinggi ekspektasi Anda, semakin besar pula kekecewaan Anda."
"#바나나스프","6 bulan lalu","Saya naik Grab dari hotel Holiday Inn Bandung di pusat kota Bandeung, bayar Rp 120.000, dan berangkat ke bawah Gunung Tangkubang Phrahu. Soalnya driver Grab bilang internet di puncak gunung tidak berfungsi. …"
"Asep Suherman","6 bulan lalu","Pemandangan nya yang luar biasa"
"BAWI THA LIAN THANG","6 bulan lalu","The place is super nice, and really worth to visit there. Seeing the boiling mud is amazing. Better to visit there in the morning. 🤩 …"
"Julianiza Ariffin","6 bulan lalu","Fantastic. Beautiful scenary. Will come again if the local seller dont bother us. 20 person chase after 1 customer. souvenir pricier tha  usual, may be double / triple. Once u take out pocket money, the whole team start chasing you. …"
"Kris Yanto","6 bulan lalu","Benar benar takjub dengan keindahan kawahnya,"
"padma azhari","6 bulan lalu","Pemandangannya cantik bgt tapi sayang waktu kesini tuh lumayan berkabut udah gitu udara Bandung dingin sekaliii, banyak yg jual cinderamata disekitar sini. Agak sedikit shock nyium bau belerang"
"Lya Nur","6 bulan lalu","Alami dan fresh cocok untuk healing benn Ra penat"
"Cara Click to","6 bulan lalu","Tempatnya bagus .recomended yg mau wisata ke gn Tangkuban perahu jangan di ragukan lagi .gak bakal nyesel🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰 …"
"Farhan Dwiputra","7 bulan lalu",""
"Zunnan Ns","7 bulan lalu","Setau saya ini gunung satu²nya yg bisa summit pakai mobil🤣🤣🤣🤣 …"
"Rena Mariana","7 bulan lalu",""
"William William","7 bulan lalu",""
"Yanbo Chao","7 bulan lalu","Amazing beautiful view. The car can reach the top of the mountain, it is very suitable for bringing the elderly and children to visit."
"Harun Kusnaedi","7 bulan lalu",""
"Reddy Adhi","7 bulan lalu","Mantap"
"Kathrin Meylida Annur","7 bulan lalu","Cold but the view is nice"
"Rini saidah","7 bulan lalu",""
"Iip Candra","7 bulan lalu","udara pegunungan segar"
"alkhumaedyy08","7 bulan lalu","harga minuman 2x lipat, titip helm setengah hari 16rb wkwkwk"
"Givi Motorola","7 bulan lalu","Tempatnya keren"
"Cu Sheinaga","7 bulan lalu","suka pemandangan nya bagus sejuk juga"
"Marie Travert","7 bulan lalu","Beautiful place but too expensive for foreigners … don’t expect a proper hike of few hours because there is not, most interesting craters are closed and you will be charged 200 000 rp at the entrance and 300 000 rp to see the dumas crater …"
"Robbi Diapari","7 bulan lalu","Enak buat nyantai"
"Muhammad Nasir","7 bulan lalu","ada yang bantu jadi fotografer gratis ..mantap
JANGAN LUPA BELI SOVENIRNYA YA"
"yanuEF BukanAnuU","7 bulan lalu",""
"gembongdenih","7 bulan lalu",""
"궈 야시","7 bulan lalu","Hati hati sama yang nawarin jasa foto, ujung2 di palak buat belli aksesoris"
"danu","7 bulan lalu","salah satu alternatif destinasi kalau bepergian ke bandung…"
"Onie Briqvan","7 bulan lalu","Seller asesoris nya ramah, bisa bantu kita ambil foto2 juga.
Asesoris yg ditawarkan banyak, mulai kalung, gelang, sweater, strawberry. …"
"Desi Fu","7 bulan lalu",""
"Zulkarnain Nain","7 bulan lalu",""
"Maulana Fahrizal Kurniawan","7 bulan lalu","Wisata Terkenal dan Legendaris di kota Bandung , bagus dan sejuk udara disini"
"K.","7 bulan lalu","Akhirnya kembali lagi ke sini bareng keluarga setelah terakhir waktu masih kecil.
Amazing trip for family, such a nostalgic place. …"
"Andeano Zakari","7 bulan lalu",""
"Ulfi Khumaero","7 bulan lalu","Alhamdulillah pas kesini cerah banget, katanya biasanya berkabut. Tiket masuk 30rb/orang untuk masuk mobil juga 30rb dan tiket parkir mobil 5rb."
"Izzan Rafferty","7 bulan lalu",""
"Waidy Bong","7 bulan lalu","Keren bangat"
"Rudy Tjandra","7 bulan lalu","Tempatnya masih alami, natural 👍👍 …"
"Irma marlitaaa","7 bulan lalu","Masuk 1 orang 20k, motor 15. Didalem parkir motor lagi, helm disuruh titip tapi bayar lagi 5k/helm. Akses jalan aspal, udara sejuk."
"乔胖胖","7 bulan lalu","Pemandangan yang menakjubkan. Anda bisa langsung menuju puncak gunung dengan menggunakan mobil. Saya juga merekomendasikan kawah domas di dekatnya, di mana Anda dapat melihat semburan air dari dekat, makan telur di sumber air panas, dan merendam kaki Anda."
"Zahwa Fadhila","7 bulan lalu",""
"Anisa nurcahaya","7 bulan lalu",""
"Herdiansyah Nukasep","7 bulan lalu",""
"eppy susanto","7 bulan lalu",""
"M.firman","7 bulan lalu","Review Tempat.

Pemandangan maknyuss... …"
"Hendri Winalsa","7 bulan lalu","Cakep, pedagang juga ramah dan bersahabat"
"Yoga Prd","7 bulan lalu","Parkiran luas, suasana dingin. Cocok untuk liburan di ahkir pekan"
"yoyo cahyo","7 bulan lalu",""
"Zura Novianti","7 bulan lalu","Waktu ke sini pas cuacanya bagus. Ada pedagang yang suka nawarin buat fotoin. Mereka nggak mau dikasih uang, tapi dibeli dagangannya. Salut deh. Cuman harus pinter2 nawar ya"
"muhamad muhsin","7 bulan lalu","Nice place. The view is majestic. Only the craft item seller mostly annoying and keep following us even we refuse to buy. Just need to be consistent and do not fall for their words if you dont want to buy. Otherwise is okay"
"Mavra R","7 bulan lalu","Viewnya cantik, adanya tangga cukup memudahkan kita untuk naik & liat view dari atas, diatas banyak yg jual buah & souvenir yg overprice, contoh strawberry aja dijual 40/pack padahal di parkiran cuma 10/pack. Di dekat tempat shuttle banyak kios cinderamata rajut yg cantik2."
"Anastasia Rini","7 bulan lalu","Datang ketika kabut tebal dan hujan deras"
"David Putra Selatan","7 bulan lalu","Bagus banget pokoknya"
"M Abdi Setiawan","7 bulan lalu","Wisata gunung dan kawah yg bagus dg fasilitas pendukung yg memadai"
"sepur","7 bulan lalu","Rame sekali, lagi musim liburan.Kabut lagi turun full seharian,
tapi berkesan sepanjang jalan liat kebun teh."
"Nur Ainun Siti Fadilah","7 bulan lalu","Viewnya bagusss. Untuk harga jajanannya yaaa namanya juga di tempat wisata wkwk"
"Elgadwstiawn","7 bulan lalu","Masyaallah Tabarakallah"
"andrian dovi","7 bulan lalu",""
"Serius Halawa","7 bulan lalu","Tangkuban perahu sangat Bagus pemandangannya dan selalu punya Momen yang sangat Baik... Di Tangkuban perahu Juga banyak tempat tempat untuk berfoto... Alam Yang sangat Baik"
"Little Asia","7 bulan lalu",""
"PPTI 69 Rizky Rifael Marsel Tan","7 bulan lalu",""
"ACUNG KULINER","7 bulan lalu","Byk makanan..cuaca dingin bgt"
"Marhoum Teddy Sukma","7 bulan lalu","This place is a must if you are visiting Bandung. The last time I was here was about 30 years ago. Now bringing my own family with kids, the view is still incredible. You have to pay an entrance fee and the difference between local and …"
"Minuita April","7 bulan lalu","Gunung Tangkuban Parahu berlokasi di Desa Ciater, Subang, Provinsi Jawa Barat. Sekitar 20 km ke arah utara Bandung.  Gunung Tangkuban Parahu mempunyai ketinggian 2.086 mdpl. Jenis gunung Stratovulcano. Yang sudah berkali2 erupsi. Mineral …"
"Dra Nadiyatul Qomariyah","7 bulan lalu",""
"Boy Gus","7 bulan lalu","Seru banget"
"dirk van den bergh","7 bulan lalu","Terlalu mahal, kami hanya memiliki kabut dan ketika kami ingin mengunjungi kawah lain di lokasi yang sama kami harus membayar untuk pemandu tambahan."
"Noel Purba","7 bulan lalu","DAN"
"Dionisius Agung Taryono","7 bulan lalu","Tangkuban perahu destinasi alam yang indah  dan masih sejuk udaranya."
"dhonal amora","7 bulan lalu","Salah satu objek wisata yang terkenal di daerah bandung..."
"Agus Suliyanto","7 bulan lalu","Tempatnya dingin, view-nya bagus..."
"Nurdin Saleh","7 bulan lalu","Rabu 3 Juli 2024, tiket 20rb, motor 12rb, parkir 3rb, kaos Tangkuban perahu 30rb, baso campur 20rb, stroberi 15rb, murbei 15rb , batu Ali 75rb, es lemon tea 10rb, tas rajut cewek kecil 60rb"
"Aisyah Nailah","7 bulan lalu","Bagus bgt cokkk kaciiww"
"Mantri Jiwa","7 bulan lalu","Datang untuk bersilaturahmi sodara di Karawang, diajak maen kesini.
Perjalanan kurang lebih 2 jam dari Karawang, pemandangan sangatlah indah, maklum dari Solo tidak ada yg seperti ini. …"
"Afnan Novianti","7 bulan lalu",""
"Mr K Garden","7 bulan lalu",""
"Reinard Desli","7 bulan lalu",""
"Sam g.dragon","7 bulan lalu","Cocok untuk menghilangkan penat"
"rasya ariyanto","7 bulan lalu",""
"I Agung Ricardo","7 bulan lalu",""
"Raden wijoyo","7 bulan lalu",""
"Since Nurue Since","7 bulan lalu",""
"Bobby Julianto","7 bulan lalu",""
"Bagas Juliaatman","7 bulan lalu",""
"RADRAN","7 bulan lalu",""
"R&R Fun","7 bulan lalu","Dari jaman masih kecil ,sampai punya anak sdh beberapa kali ke sini. Tiket masuk wisatawan lokal weekday 20rb/orng, weekend 30rb/orng. Wisatawan mancanegara weekday 200rb, weekend 300rb. Tempat wisata disini dari dulu dibiarkan alami. Bisa untuk wisata edukasi anak. Oleh2, souvenir banyak dijual disini dg harga terjangkau."
"saydoppa","7 bulan lalu","The active volcano that located 30km north of Bandung city center. One of the perfect places that nature lovers couldn’t afford to miss. Sink in the cool air of the highland where the distinctive volcano situated, fumed with Sulphur …"
"Gia Mega Nanda","8 bulan lalu","Emang pali adem kalo kesini, sambil makan jagung bakar liat ke kawah.
Tempat wisatanya bersih. Pengelolaannya juga baik.
Liburan bareng keluarga atau temen sekolah asik sih, cuma lumayan juga buat naik ke atas. Tapi gak terlalu jauh juga, masih sangat terjangkau dan tidak terlalu capek"
"Dwi Sahidin","8 bulan lalu",""
"Andi Susandi Hendraprawira","8 bulan lalu","Bagus"
"Mullyana","8 bulan lalu",""
"Asha Syamsuddin","8 bulan lalu","Batal kesini dikarenakan beberapa hari sebelum berangkat terjadi insiden, ada rombongan 1 bus yang mengalami kecelakaan dan memakan banyak korban."
"MFA Channel","8 bulan lalu",""
"andy idris dragoslav","8 bulan lalu","Pertama kesini hari Kamis 20/06/24 malah kesorean sampe didepan gerbang jam 16.30 ternyata udah tutup. Besoknya saya kesana jam 8 pagi setelah sebelumnya saya ke cililin beli wajit. Lumayan jauh dari cililin 50km . Jalanan nya lumayan …"
