"nama","waktu","ulasan"
"Mega","sebulan lalu","Tempat yang nyaman sekali untung berkunjung bersama keluarga apalagi punya anak anak.."
"Al Mawardi Official","sebulan lalu","tempat yang sangat cocok untuk rekreasi dan edukasi tentang hewan,beragam hewan banyak disini,reptil,mamalia,dll 😍
weekday 80k …"
"Imam Wahyudi","sebulan lalu","Bagus dan sangat bersih.. Cocok banget bawa anak anak"
"Venus DK","sebulan lalu","Bersih, luas, hewa hewannya banyak, banyak tenpat istirahat dan kamar mandinya banyak juga jadi tidak mengantri"
"Afsyah","sebulan lalu","Tempat yang bagus untuk anak-anak melihat binatang"
"Agus Thea","sebulan lalu",""
"Asia Catering","sebulan lalu",""
"Lina Herlina","sebulan lalu","2x k sini pertama akhir 2022 dan kemarin awal tahun 2025 tiket masuk 90rb termasuk tiket trusan bnyak yg baru d banding 2022 tempatnya bagus cocok untuk bawa anak2 wisata k sini,kebetulan saya dr Sukajadi kurleb 30menit sampe,anak senang d ajak k sini lain kali k sini lagi🤗 …"
"Teddy Gunawan","sebulan lalu",""
"Lilik Fauziah","sebulan lalu","Tempatny nyaman dan luas...
Dan adem juga tempatny,ga pernah bosen untuk dtg k sini klo k bandung."
"Tyvannia S","sebulan lalu",""
"Yohanes Gunawan","sebulan lalu","Nice place for family time"
"Alan Wijaya","sebulan lalu","Tempatnya bagus, sudah sekian kali kesini terus, dari kandang gajahnya masih di bangun sampai sekarang sudah banyak gajahnya👍🏻, wahananya semakin banyak, hewan2nya terawat, staff2 ramah, Sekarang ada mini safarinya, tempatnya sejuk, …"
"Muhamad Hakim","sebulan lalu",""
"Bambang Tri Gunawan","sebulan lalu","Words cannot expressed my feeling at the moment. Cool and helping staffs, affordable admission ticket. E-scooter is an optional if you don't wanna walk around by foot. Food stalls are everywhere, and the toilets too. Ah one more thing, i …"
"Nova lia","sebulan lalu","happy🖤✨ …"
"RIA 2020","sebulan lalu","Lembang Park and Zoo

Ingin ke situ lg. Terakhir ke sana tahun covid. 2020"
"Sahrul Sidik Nasruloh","sebulan lalu",""
"Kezia Aphelia","sebulan lalu","klo ditanya klo ke lembang harus kemana. mulai sekarang aku akan jawabnya, KE LEMBANG PARK AND ZOO!! murah, fun, lengkap!! so much to do. makanannya juga ga mahalll, jadi makan siang di dalem pun aku nggak merasa rugi. …"
"Jihan Marselina","sebulan lalu","Seruuuu bgtttt🥰 …"
"Eqi Fauzan Arfansyah","sebulan lalu",""
"suhermin wijaya","sebulan lalu",""
"Octavia Tri astuti","sebulan lalu","Ke dua kali kesini. Seruuuu sekarang ada safari tour nya🥰🥰 …"
"mariah ulfah","sebulan lalu","Pengalaman yang menarik, banyak hewan lucu dan menarik, serta ad pertunjukan yang bagus"
"epan hikayat","sebulan lalu","Lumayanlah buat ngajak rekreasi keluarga mah. Harga memang agak mahal di banding KB yang lainnya. Masuk 90rb perorang, di dalam ada beberapa wahana yang bayar lagi jika ingin masuk, 20rb kalo ga salah. Makanan disana ga mahal2 banget, standarlah 30rb. Saran buat yang mau kesini, datangnya pagian aja, kalo siang penuh."
"immamoy's daily","sebulan lalu","Harga tiket masuk di hari libur nasional lumayan mahal. Tempat nyaman, banyak toilet dan jajanan dimana mana memudahkan untuk semua nya, lingkungan bersih. Parkiran luas. Jalan2 di kampung satwa kurang memuaskan."
"singgih kris","sebulan lalu","Tempat yang nyaman untuk edukasi anak2 mengenai hewan dan nyaman juga untuk bermain."
"Dsb 317","sebulan lalu","Kesana pas jaman2 covid, jd pingin kesana lagi. Anak2 sampe udah ngebayangin disana mau ngasih makan harimau, gajah dan ikan lagi"
"vanz cavelly","sebulan lalu",""
"YD_VLOG Channel","sebulan lalu",""
"Risma Andriani","sebulan lalu",""
"irfan ghazali","sebulan lalu","menyenangkan untuk berlibur bersama keluarga, tempatnya luas dan ada atraksi drama edukasi juga"
"Witanu Ningsih","sebulan lalu",""
"Farren Mayhaptani","sebulan lalu",""
"Faisal Abdau","sebulan lalu",""
"Asep Ahey","sebulan lalu",""
"Nora Hasyati","sebulan lalu","Untuk tiket masuk cukup affordable, jenis binatangnya banyak, makanan melimpah"
"Muhammad Nur Cahyo","sebulan lalu","Bagus area bersih,,bnyak toilet,,cocok buat wisata keluarga"
"Imam Rustadi","sebulan lalu","Good palce to bring your kids or family to intoduce animal."
"aldryan deschara","sebulan lalu","Was really worth it! Can bring your kids to educate-entertain them to animals."
"sopian yopy","sebulan lalu",""
"Nabaequny 99","sebulan lalu",""
"Adinda","sebulan lalu","Lovely and clean zoo"
"Jajang Kurniawan (Jajang Dushter)","sebulan lalu","Nyamaan bagus, terima kasih"
"Milton Milton","sebulan lalu",""
"Falah Akbar Ad'Dafa","sebulan lalu","Lembang park & zoo merupakan tempat wisata yang luas dan cocok untuk liburan.
Memiliki tempat parkir yang luas, dan banyak staf yang membantu di area tempat parkir. …"
"DIW","sebulan lalu","Salah satu tujuan saat Family Gathering kantor di bulan Oktober 2024. Tersedia mobil antar jemput dari area parkir sampai loket masuk. …"
"Irwan Hollick","sebulan lalu",""
"Yoga Budi Santoso","sebulan lalu","Tempat nya bagus cocok untuk ajak istri dan anak karna bisa langsung mengenal binatang binatang yang ada disini"
"Ahmad Komarudin","sebulan lalu","baru sekali kesini krna penasaran dgn banyak yg rekomendasiin ksini. ekspektasi saya ketinggian krna mengira dsini mirip kyak taman safari puncak. ternyata beda jauh. koleksi binatangnya ga banyak, apalagi area kampung satwa yang dikit …"
"Jemmy Susanto","sebulan lalu",""
"Dewi Salvia","sebulan lalu","Enak tempatnya bersih, jarak tiap hewan ngga jauh, pegawainya ramah, harga makanan minuman standar tempat rekreasi."
"Happy","sebulan lalu",""
"Ayi Yudestira","sebulan lalu",""
"Rohaeti Rohaeti","sebulan lalu",""
"H Onishi","sebulan lalu","Kami menyewa kereta di pintu masuk dan menikmati kebun binatang dengan nyaman. Kegagalan untuk mematuhi batas waktu satu jam akan mengakibatkan biaya tambahan sebesar 40 rb. …"
"Moch Arizal","sebulan lalu","Mantap sih"
"Tika R Agustin","sebulan lalu",""
"Johanes Trisno","sebulan lalu","Recommended.. puas. Bagus"
"Titi Widaretna","sebulan lalu","Udah 3x kesini dan tiap kesini pasti ada aja yg baru nya. Jadi gapernah bosen dan memutuskan buat bawa anak kesini pertama kalinya karna memang sebagus itu tempatnya. …"
"suban dono","sebulan lalu","Lumayan bagus,,, kpn2 kesana lagi"
"Alin Aquarium","sebulan lalu","Tempatnya modern, koleksi satwa juga mulai bertambah seiring waktu disertai dengan penambahan mini safari ""kampung satwa"" cukup bagus, namun durasinya mungkin bisa ditambah sedikit lebih lama, …"
"felix cornelius","sebulan lalu","Harga tiket masuk di depan sudah naik jauh dibanding saat pertama kali tempat ini dibuka. Memang jadi lebih banyak area yang baru dan hewannya juga tambah banyak tapi terlalu banyak tempat yg perlu nambah biaya on the spot lagi. Kalau …"
"Saung Leuhang Apih ayat","sebulan lalu",""
"Bintang 78","sebulan lalu",""
"Roudotul Jannah","sebulan lalu",""
"Dede Hermawan","sebulan lalu",""
"Khoirunnisa Nurhayatun","sebulan lalu",""
"didi alkat","sebulan lalu",""
"danang putrapinilih","sebulan lalu","Tempat cukup nyaman untuk wisata keluarga dengan harga murah, di high seasons aja cuma 90ribu sudh termasuk terusan kampung satwa"
"Olih Asep Apriatna","sebulan lalu","Sangat puas bermain bawa anak sambil mengenal hewan hewan, yang sangat banyak jenisnya Tempat yang sangat bagus rapih bersih."
"P Trisnoaji","sebulan lalu",""
"Dani Zaelani","sebulan lalu",""
"Krisna Akis","sebulan lalu",""
"Fajar Hardi Muhammad","sebulan lalu","Lembang park and zoo...adalah kebun binatang yang sangat direkomendasikan untuk anak belajar mengenal satwa liar..tempatnya adem nyaman banyak jajanan juga dan masih banyak lagi..datang ke bandung..wajib kesini seriusan"
"Isti Yuniza","sebulan lalu","Serui bangettt banyak banget binatangnya, ga nyesel liburan tahun baru disini. Next musti kesini lagii hihi"
"salsabilla shakilla tahira","sebulan lalu","🫶🏻💋 …"
"Nanad","sebulan lalu","sangat nyaman"
"tiara kharissa","sebulan lalu",""
"yayu Sriwahyuni","sebulan lalu","seru dan ramai"
"Desi Andriani","sebulan lalu","Sudah ke-5 kalinya kesini cocok banget untuk liburan sama anak-anak, happy banget bisa melihat berbagai satwa indonesia"
"Irma Mutiara Rahmah","sebulan lalu",""
"taufik rahayu","sebulan lalu",""
"Dina R","sebulan lalu",""
"Adam Fatur Rohman","sebulan lalu","Seru parahhhhh, banyak hewan hewan nya, tertata rapih, bersih, mushola rapih wangi, apalagi ada wahana baru dinosaurus makin rame, petugas nya ramah ramah, sangat membantu anak anak jadi Happy. POKOK NYA WAJIB KE LEMBANG PARK & ZOO!!!!!! Dan jangan lupa cobain semua wahana yang ada di lembang park & zoo🥰 …"
"Aulia febriani Aulia febriani","sebulan lalu","happy banget liburan ke park zoo"
"Vrian Agus","sebulan lalu",""
"Nabila Zahra Ramdhani","sebulan lalu","Seneng sekali"
"Tri Nugraha","sebulan lalu","Sangat puas dan menyenangkan, high recommended"
"Fachry Priatna","sebulan lalu","Wahh seru bangett liburann ke lembang park & zoo"
"Rifki","sebulan lalu","seru bgt liburan akhir tahun bareng keluarga ke lembang park & zoo banyak wahana terbaru nyaa"
"Yayang Nurhidayah","sebulan lalu","Wahhhh kemarin main ke park zoo untuk pertama kalinya, dan seru sekali"
"Ikhsan Maulana Muchtar","sebulan lalu","seru guys liburan di lembang park & zoo, ada wahana baru juga dino show seru bnget"
"Kamila Nurhanifa","sebulan lalu","wooowwww, asikk bgt maen ke lembang park & zoo"
"Isma Nurhidayahhh","sebulan lalu","Asekkk bangett kemarinn akuu main ke Lembang park & zoo"
"Wahyu Ubed","sebulan lalu","Wah seru sekali liburan tahun ini ke lembang park&zoo karena ada wahana baru dino land, selain bermain d dalem juga ada edukasi nya juga poko nya seru banget liburan kali ini"
"Ulfah Saadah","sebulan lalu","Wiii di prak zoo sekarang seru banget soal nyaa ada dino saurus loo benar benar sangat menarik untuk bawa anak anak main ke park zoo🥰 …"
"Cepi Cahya","sebulan lalu","Liburan kali ini seru banget main ke lembang park zoo"
"Fitri Ajah","sebulan lalu","Kemarin liburan ke sini, ada dino sekarang . Keren banget dan seru banget kita bisa menjelajah melihat dino dari masih bayi sampai dino besar dan kita bisa berinteraksi sama dino dino . Edukatif banget untuk menambah ilmu zaman purba
Ayooo cobain datang deh biar gak penasaran"
"Yanti Nurhayati","sebulan lalu","Wktu saya ke park zoo ternyata ada wahana baru dino land seru banget dan bagus banget anak saya senang sekali main di dino land 👍 …"
"Teti Darlina","sebulan lalu","Waww seru sekali liburan di park zoo"
"Indriyani dewi","sebulan lalu",""
"Ahmad Al Kaafi","sebulan lalu","Tempatnya nyaman bersih, ada toiletnya diberbagai titik, banyak spot² yang bisa dikunjungi, memberi makan hewan beli pakannya mulai 5ribu, terdapat kampung satwa (berkeliling dengan mobil melihat hewàn secara dekat)"
"Suci Ayunda","sebulan lalu","Untuk harga tiket yang ditawarkan sih tempatnya udah oke banget. Harga restoran dan jajan-jajanan serta feedingnya juga tergolong murah. Bisa sewa skuter juga kalau malas jalan. Cukup lah area segitu juga jalan kaki cape juga. …"
"Arya Adhitiya Priatna","sebulan lalu","Pertama kali nyuci disini sangat memuaskan"
"Nanank Ruhimat","sebulan lalu","Tempatnya luas, bersih,hewannya banyak & terpelihara dengan baik. Aman untuk anak dan sangat mengedukasi. Kalau pesen tiket rombongan  >50 org 1 minggu sebelum atau -7 dapet discount 10%"
"justine","sebulan lalu","kecewa banget pas masuk ke area Dino Show didalem pegawai cowo nya pada judes ngerasa kapok masuk DinoShow itu buat anak saya ga bikin seneng liburannya"
"Dian Sitorus","sebulan lalu",""
"Cho Cho","sebulan lalu",""
"30 Sintong Mangara sitorus Sitorus","sebulan lalu","Kerem&seru banget, gak habis hewannya pokoknya kere abiiizzz"
"Jun","sebulan lalu","keren banget!! seru lagi, paling suka sama rumah kucingnya, kucingnya gemes gemess"
"Frida Tambunan","sebulan lalu",""
"Sadima Harianja","sebulan lalu",""
"Marlinang Pakpahan","sebulan lalu",""
"Ayu ella Putri","sebulan lalu",""
"Roy Benon","sebulan lalu",""
"Sylvia Silalahi","sebulan lalu",""
"Rosalia Rindy","sebulan lalu","Enakkk bgt kalau pas pagi datangnya, jadi puas. Rute aman pas di dalamnya ga terlalu jauh jalan. Cobain telor gulung sama susunya!"
"eno anggraeny","sebulan lalu","Jalan2 seru kebun binatang di Lembang park & zoo, harga tiket terjangkau ada paket terusan. dikasi peta untuk melihat binatang apa saja yang ada. Resto lengkap disamping kaca ada hewan nya, setiap memberi makan hewan berbayar dan untuk …"
"Fathrasia Emma Simanjuntak","sebulan lalu",""
"Debora Shintya","sebulan lalu","Recom jika kebandung, sangat menyenangkan"
"sonia pranata","sebulan lalu","udah ke 2x nya kesini dan gk pernah mengecewakan..recomended utk rekreasi keluarga.."
"Yenny Fahmawati","sebulan lalu","Keren banget,,kebun binatang kekinian,,udah banyak penambahan semenjak 2 tahun yg lalu kita kesini"
"Ksatria R","sebulan lalu","Seru buat anak anak"
"Adhitya Dwi Putra","sebulan lalu",""
"Annisaa Mayangputri","sebulan lalu","Masyaa Allaah pengalaman seru banget bisa kesini. Staff sooo friendly! Apalagi ibu ibu di mushola, keep the great job bu ☺ kebersihan terjaga, dan walaupun dateng di high season tetep nyaman. Datengnya pagi jadi belum packed banget, siangan dikit langsung deh 🤣 tapi tetep controlled banget ga chaos. Way to go LPZ 😉 …"
"nur abdul qodir jaelani","sebulan lalu","Zoo n Park Lembang sudah Banyak Perubahan... Lebih Luas, lengkap n pelayanannya lebih baik...
Cocok untuk liburan"
"Pauzi Kurniawan","sebulan lalu",""
"Dewi Per","sebulan lalu","Akhirnya kesini di hari libur panjang sekolah, padahal org bdg tp di nanti2. Meski harga tiket lebih mahal dr biasanya, tapi sangat Puas. …"
"Muhammad Fazrir Rahman","sebulan lalu","Sangat kids friendly, bawa ponakan kesini pada seneng banget. Tersedia restoran juga didalamnya, harganya yaa sewajarnya di tempat wisata. Kalo soal rasa not bad lahhh, rekomennn buat kalo bawa keluarga dan anak anak"
"Ayu Wulan Channel","sebulan lalu",""
"nana suyatna","sebulan lalu","Cocok buat anak2"
"Yulianah","sebulan lalu",""
"Deni Heryana0403","sebulan lalu","Sangat menyenangkan parkiran luas"
"saleh ajah","sebulan lalu","Seru sekali"
"leni MARLINA","sebulan lalu","Good Mantap Cocok Buat Anak2 Saat Liburan"
"Zuhuriah Hasan Galoeng","sebulan lalu","Waaaahhh seru banget saya bawa liburan anak dan cucu saya ke park & zoo tempatnya bersih dan beragam binatang"
"Oktoria Silitonga","sebulan lalu","Mantap"
"Elfriede manurung","sebulan lalu","Kereen"
"Wawan Sugiarto","sebulan lalu",""
"Iip Nur","sebulan lalu",""
"Nurwenda Aditia","sebulan lalu",""
"Qonita Adronafisa","sebulan lalu",""
"Bolong Therick","sebulan lalu",""
"Hendra Bayu","sebulan lalu","Tempat yg sangat menghibur dan keren lah madep"
"Lady Agustine","sebulan lalu",""
"Putri Sekar Utami","sebulan lalu",""
"Rafi Risq","sebulan lalu","bagus tempatnya"
"helmi wahyu","sebulan lalu","Terima kasih pengalaman yang menyenangkan dan berbeda dateng ke lembang park & zoo, semoga lebih baik dan lebih banyak lagi penghuni dan atraksinya"
"Nini Antasari","sebulan lalu","Semua memuaskan"
"Faishal Dinan R","sebulan lalu","mantap pokok nya, liburan kesini aja yaa"
"Vina Setia","sebulan lalu",""
"Faishal Dinan Razaqa","sebulan lalu","pengalaman ke zoo paling menarik"
"Faishal Razaqa","sebulan lalu","Banyak wahana, banyak satwa, pengalaman terbaik untuk ke zoo"
"Andri Wae","sebulan lalu","Pokoknya puas dah"
"Cellio Ethan","sebulan lalu","Mantap banget anak anak puas"
"Pedege Livina","sebulan lalu","Tempat yang menyenangkan"
"dyar gita “INDOxGAMER” Pratama","sebulan lalu","Rame.. dari parkiran mobil diantar menggunakan shuttle ke loket. Selebihnya seperti zoo pada umumnya"
"Wietra Vera","sebulan lalu","Tempatnya nyaman, udaranya sejuk untuk tiket masuk terusan 90rb sudah dengan safari satwa.. Overall puas si ke sini. Jarak antar satwa ga terlalu jauh.."
"Meirani siti Fatimah","sebulan lalu","Tempatnya luass hewannya banyak tapi belum lengkap mau liat jerapah tdnya tapi masih comingsoon dan blm ada atraksi2 gt yaa."
"jalaludin sayuthi","sebulan lalu",""
"Febi Amanda Putri","sebulan lalu","Zoo ter the best sebandung rayaaa!! Tempatnya luasss dan bersih"
"Yoga Sastra","sebulan lalu","Suka banget sama hal-hal kekeluargaan di sana, koloninya juga banyak, Jos"
"Ran Kusuma","sebulan lalu","Keren bgtt"
"Kadek Dian Sherlia","sebulan lalu",""
"Desyari Widi","sebulan lalu",""
"Aries Santoso","sebulan lalu",""
"Adiguna PN EDAY","sebulan lalu","Pembagian snack di pintu keluar tidak adil ada yang di kasih ada yg tidak,
Kunjungan pertama sebelumnya sya dan anak mendapat snack
Namun tidak dapat
Snack di kunjungan ke dua"
"khilda shopia","sebulan lalu",""
"KKJB","sebulan lalu",""
"An'nur An'nur","sebulan lalu",""
"Bunbi Habibi","sebulan lalu","Liburan seru di Lembang park and zoo ."
"Ahmad Rg","sebulan lalu","Tempatnya nyaman.
Bersih dan terawat.
Pegawainya ramah. …"
"Elly Triana","sebulan lalu",""
"MUHAMAD SYAEFUDIN","sebulan lalu",""
"Oom Damayanti","sebulan lalu","Sangat recomended untuk wisata keluarga dengan si kecil"
"Eva Liana","sebulan lalu","Pengalaman yang menyenangkan untuk melihat satwa. Ada beberapa pertunjukan yang bisa dilihat. Kamar mandi bersih. Musholla bersih. Anak-anak senang karena banyak dapat mainan dan makanan ringan setelah pertunjukan dan saat pulang. Banyak variasi makanan di tempat makan."
"Sartika Happy Yolanda Nainggolan","sebulan lalu","Bagus,bersih"
"Agustino P Hutajulu","sebulan lalu",""
"Agus Megi Gahara","sebulan lalu",""
"Ghefira Nadhira Nasrulloh","sebulan lalu","sangat seru asik"
"Laily Indaryani","sebulan lalu",""
"Aditya Mns","sebulan lalu","Tempatnya bagus, binatangnya lengkap, masih nunggu buat pembukaan unta nya"
"Dita Salma Nur Azizah Sehabudin","sebulan lalu","Sangat memuaskann dan sangat menarikk 🤗 …"
"Taufik Pradesa","sebulan lalu",""
"AZZAHRA AS","sebulan lalu","Sekarang lebih seru tambah kampung satwa"
"Rudi Rusdiyanto","sebulan lalu","Ada kampung satwa"
"Anisa Achiarini","sebulan lalu","Lebih bagus, lebih lengkap dan hewannya makin banyakkk satwa liarnya dibandingkan tahun 2021 pertama kali ke zoo park, bersih dan tempat jajanannya banyaakk. Seruuuu pisan"
"Neng Enny","sebulan lalu","Saya ke sini tgl 23 des 2024. Harga liburan naik jadi 90rb + tiket terusan naik mobil kebun binatang mini yg isinya binatang buas dan binatang langka. Kaya di safari gitu. Tp cuma dikit doang isi binatangnya. 5 menit jg sampe. …"
"Aditya Makin","sebulan lalu",""
"cleo sitorus","sebulan lalu","The first date with someone I didn't expect
🥺🥺❤️❤️❤️ …"
"Maria Kristiana","sebulan lalu","Sangat direkomendasikan untuk liburan bersama keluarga ditempat ini. Banyak sekali spot menarik dan koleksi faunanya cukup terawat dengan baik. Tak perlu khawatir bagi yg malas jalan karena terdapat persewaan sekuter listrik didalam area …"
"Luthfan Anka Pratama","sebulan lalu",""
"Handi Kacer","sebulan lalu",""
"Sintyia PS","sebulan lalu",""
"bayu kuncoro","sebulan lalu",""
"Eka Rian","sebulan lalu","Sangat menarik"
"DERIAZ KEBAYA WEDDING","sebulan lalu",""
"Lancelot Denny","sebulan lalu",""
"Sundari Wiwik0512","sebulan lalu","Rekomended untuk bocil"
"Defita Erni","sebulan lalu",""
"Yanuar Adi Prayuda","sebulan lalu",""
"Kelly Valencia","sebulan lalu","Cute animals and contains a kids friendly playground. Perfect for tourist"
"Yason Resyiworo Hyangputra","sebulan lalu","Nice zoo. Kami senang sekali sekeluarga kesini. Tingkatkan terus.tambahkan hewan2 nya. Jerapah dll."
"Muhammad Nugraha","sebulan lalu","Tempatnya cocok buat bawa anak anak dan keluarga, parkiran luas, koleksi binatangnya juga banyak banget dan beragam dengan harga yang masih sangat terjangkau"
"Renny Rahhma","sebulan lalu",""
"Meila Rizkani","sebulan lalu","Seru bangett..!! buat liburan ajak keluarga, pasangan & Teman 🥰 …"
"Shafia Fathina Izzati","sebulan lalu",""
"seto bramandita","sebulan lalu",""
"Adilah Hamid","2 bulan lalu","It was a really nice place for families with young children. Unfortunately, there were some places that were under constructions and we didnt managed to see all the animals. There are some animals that you would need to pay to see, which is …"
"nurhasanah dewi","2 bulan lalu",""
"Hendra Hamdani","2 bulan lalu",""
"Eduardus Wisnu Murti Wijaya","2 bulan lalu",""
"emasya Pheseg","2 bulan lalu","Lembang park zoo rekomemdasi untuk liburan family krn lengkap dan puas 1 hari saja g cukuo buat muterin smua nya, keren"
"bella anggraini","2 bulan lalu","Bagus banget pengalaman berwisatanya. Hewannya ditambah lagi…"
"alina wati","2 bulan lalu",""
"TIRTA AYU PRABANDARI","2 bulan lalu",""
"Hasna Khalda","2 bulan lalu","Tempatnyaaa kerenn."
"Ninis Khoirunnisa","2 bulan lalu","Bagus"
"Bidan Dewi","2 bulan lalu","Wahanaaa cocok untuk keluarga"
"Henny Mulyani","2 bulan lalu","Semakin banyak binatang baru, ditunggu binatang2 baru lainnya.."
"Xerxes Shigeo","2 bulan lalu",""
"Jimmy ml","2 bulan lalu","Mantap gacor x"
"Dang Galih","2 bulan lalu","Bersih, luas, oke dari kebun binatang bandung"
"Tri sentia Asih","2 bulan lalu",""
"RAKA SUPRIYADI RAHAYU","2 bulan lalu","Good pokonya"
"Cici Agustianita","2 bulan lalu",""
"Fitri Nuryanti","2 bulan lalu",""
"Muhammad Romzi","2 bulan lalu",""
"Daely Daely lestari","2 bulan lalu",""
"Robby Grizzly","2 bulan lalu",""
"Fanny Priscella","2 bulan lalu","Keren!! Family and kids friendly, byk fasilitas yg sangat mendukung, wajib coba kesini"
"Galih Akih","2 bulan lalu","seru,dan tidak membosankan"
"eLvan dR","2 bulan lalu","Seru sekali berlibur di lembang park n zoo bersama keluarga , tempatnya bersih dan nyaman"
"Nur Suud","2 bulan lalu","Tempatnya keren"
"Ria febry","2 bulan lalu","Sangat menyenangkan..."
"Afifah Rahmahfillah","2 bulan lalu","Puas banget main dsini bocil puas lari2.."
"Niekha Zoelienna","2 bulan lalu","Seruuu. Hewannya makin banyak dan mainannya banyaaakk. Cocok buat bawa anak"
"CV Rawas Perkasa Mandiri","2 bulan lalu",""
"Ari Kurniawan","2 bulan lalu","Petualangan seru untuk anak2, dan bnyk tempat makan nya juga"
"Affan Abrisam","2 bulan lalu","Menyenangkan"
"Agustina Putri","2 bulan lalu","Menyenangkan..
Anak2 senang bermain d sini..."
"Ahyar Djarot","2 bulan lalu","Mantap"
"PARAMITHA Wedding House","2 bulan lalu",""
"Siti Nur Eka Wati","2 bulan lalu","sangat menyenangkan tempatnya luas dan bersih hewan2nya byk"
"Dwi Wahyuningsih","2 bulan lalu","Menyenangkan"
"hasna family","2 bulan lalu",""
"Topan Rizky Ramadhan","2 bulan lalu","Lembang Park Zoo cocok banget buat kalian yang mau liburan bareng keluarga, terutama yang bawa anak-anak. Tiket masuknya cuma Rp50.000 per orang, cukup terjangkau kan? Dengan harga segitu, kamu bisa lihat banyak banget koleksi hewan yang …"
"Nopay Mcfadden","2 bulan lalu",""
"Akhmad Didik Darmadi","2 bulan lalu",""
"Dado Jakarta","2 bulan lalu","Good"
"I Made Marthana Yusa","2 bulan lalu","Bagi yang suka menghabiskan liburan bersama keluarga di Lembang, bisa sempatkan berkunjung ke Lembang Park&Zoo. Memiliki koleksi hewan yang cukup lengkap, fasilitas tempat makan dengan makanan yang menggugah selera, Lembang Park & Zoom cukup recommended 🫰 …"
"Sintong Michael Hutapea","2 bulan lalu","Good place to have a quality time with famliy"
"Resty Mega","2 bulan lalu",""
"honda beat","2 bulan lalu",""
"Gigih Rengga Yudhistira","2 bulan lalu",""
"Josiah Onasis","2 bulan lalu","Banyak hewan hewanya, tapi kok tempat cat cafenya kucingnya pada tidur aja kayak gk ada interaksi sama skali, tapi hewan hewan lainya udh bagus lah."
"M. Za'im Rofi'ie","2 bulan lalu","Cukup luas, wahananya jg cukup banyak

Tepat di jam 3 sore ada pertunjukan Theatre dari burung² pemangsa lokasi nya Deket kandang Orang UTAN"
"rony bukit","2 bulan lalu","Zoo nya bersih dan terawat. Staf ramah2. Koleksi hewan cukup banyak. Rekomen bwt bawa anak2. Ada play ground juga."
"Cheryl Binong","2 bulan lalu",""
"Cucu Caca Sahira","2 bulan lalu",""
"Ilham Hidayat","2 bulan lalu",""
"Dadan Ramdani","2 bulan lalu",""
"Nuroh Maulida","2 bulan lalu",""
"Dewi Susilawati","2 bulan lalu",""
"Stanislaus Joshua","2 bulan lalu",""
"Siti Nuraeni","2 bulan lalu",""
"san imas","2 bulan lalu",""
"Lakshmi Dwi Pradhina Prajnagitaningtyas","2 bulan lalu","Tempat seru.. Binatangnya banyak.. Harga makanan tidak terlalu mahal.."
"Sendy Utommi","2 bulan lalu",""
"galih chiga","2 bulan lalu","Seru bareng keluarga"
"Abdul Hamid","2 bulan lalu",""
"Arbhi Putra","2 bulan lalu","Kebun binatang yang benar"" memberdayakan kebersihan.
1. No vape/smoke
2. Tersedia jalur stroler dmn"" …"
"Wawan Wawan","2 bulan lalu",""
"FENG LEE","2 bulan lalu",""
"Yodi Susanto","2 bulan lalu",""
"Zacky Ahmad","2 bulan lalu","Tempat liburan keluarga yg sangat direkomendasikan sekali. Tempat nyaman untuk semua kalangan."
"Bang Owi Sonhaji","2 bulan lalu","Kecewa. 2 bungkus ciki gak boleh dibawa masuk. Padahal kami didalam pas waktunya makan siang mah pasti makan berat di restoran. Pas pengen jajan mah pasti jajan. Jangan terlalu kaku deh ama peraturan. Kami berempat udah bayar tiket mahal sangat kecewa. Lihat noh wisata kampung gajah udah tutup permanen. Gak akan kami kemari lagi."
"Rawindra Bima","2 bulan lalu","LEMBANG PARK & ZOO

Saya lewat exit tol padalarang. …"
"Rida Sinta Sintia","2 bulan lalu","Kebun binatang paling bagus si menurut saya karena hewan-hewan sangat terawat dan gemuk-gemuk. Worth it dengan bayar 85k bisa keliling pakai mobil safari ke kampung satwa, sedikit menguji adrenalin saat singa nya mendekat ke mobil 🤣 cocok …"
"BnA SOCK","2 bulan lalu",""
"naufal rifky","2 bulan lalu",""
"Salmania El Faiza","2 bulan lalu",""
"Gina Renita","2 bulan lalu",""
"Belva Qaid janitra","2 bulan lalu",""
"Siti Nuraida","2 bulan lalu",""
"Florence Teveni","2 bulan lalu",""
"Rudi Atin","2 bulan lalu",""
"Nurhayati Amalia","2 bulan lalu",""
"Vemi","2 bulan lalu",""
"bahrul arif","2 bulan lalu","Seru dan menyenangkan"
"siti nur albaniah","2 bulan lalu",""
"Ivan Sopian","2 bulan lalu","Seruuuu...menarikkk..."
"agus tri haryanto","2 bulan lalu",""
"Linda Lin","2 bulan lalu","Sangat menarik"
"Dini Andari","2 bulan lalu","Rapi bersih, nyaman untuk bawa anak kecil edukasi satwa"
"Rafahlevi","2 bulan lalu","Seru banget main di park zoo lembang
All in unlimited happy and edukatif"
"Cahaya Hanna kherana","2 bulan lalu",""
"muhamad kahpi satriawan","2 bulan lalu",""
"dery muhayat","2 bulan lalu","sangat bagus"
"Shella Eka","2 bulan lalu",""
"Benny Rizki Aulia","2 bulan lalu",""
"agus wicaksono","2 bulan lalu","Mantappp..."
"Numan Hakim","2 bulan lalu",""
"Diyan Wulandari","2 bulan lalu","Anak² betah disini"
"Uun Jufri","2 bulan lalu",""
