"nama","waktu","ulasan"
"Anindita Putri","sebulan lalu","Gunakan sepatu yang nyaman. Bawa payung atau jas hujan untuk berjaga² terutama ketika musim hujan.
Parkir ditempat yang disediakan oleh TGAA, kalau parkir diluar, biayanya asal …"
"denny reza prabowo","sebulan lalu",""
"Nur Rahmat Asyhab Baha'uddin","sebulan lalu","Pelayanannya sangat buruk dan sangat mahal serba bayar.,
Ketika membeli tiket /orang 50k dan tidak di kasih tau penukaran tiket free minuman, ketika masuk ada sales obat yang memaksa., …"
"eddysasmi","sebulan lalu","Keren"
"Yozeph Antony","sebulan lalu","Sudah tidak terawat seperti dulu, banyak rumput liar dan beberapa bagian seperti tidak ada perawatan."
"Ade Suryadi","sebulan lalu","Tiket libur nataru 50rb on the spot.
Free minuman pilihannya
Es kopi, es jeruk, es tea"
"Rahadyan Aulia","sebulan lalu","Bagusnya menurut saya :
1. Tempatnya di tepi tebing, viewnya bagus, sejuk, ada aliran airnya (tapi kurang bersih) …"
"Sekar Ayu Kurniasih","sebulan lalu",""
"Aji Aidil Fitnar","sebulan lalu","Tempatnya Bagus, jalannya lumayan capek karena tempatnya di bawah bukit. Tiket masuk 50k+gratis minuman. setiap wahana bayar lagi klo mau."
"Keke keket","sebulan lalu",""
"evan k. s.","sebulan lalu",""
"Arif Haqie","sebulan lalu","Tempatnya seperti Taman Mini nya versi budaya dunia tapi, belum lengkap seperti Taman Mini, seperti : …"
"Marsiah Zd","sebulan lalu",""
"Siti Shofuroo","sebulan lalu","Rabu 1 January 2025
Jalan jalan disini capee bangettt apalagi pas naik turun ditambah gendong bayi
Yang bikin aku kecewa itu kenapa yaa tiket parkirnya mahall bgttt masa suruh bayar 10 ribu sumpah baru kali ini aku pergi pergi di bandung suruh bayar parkir motor 10 ribu"
"Muhammad Rifqi D.","sebulan lalu","Lokasinya fun buat anak anak namun staffnya tidak terlalu informatif terhadap lift prioritas yang digratiskan buat ibu hamil, padahal yang beli ibu hamilnya sendiri"
"Batara Lenyap","sebulan lalu",""
"Agus Sutrisno","sebulan lalu",""
"Latifah Fatmaa","sebulan lalu","- cocok untuk liburan bersama keluarga
- tiket bisa ditukar dengan minuman
- jika lelah untuk jalan balik, bisa naik Gondola (tiket 10k)"
"Agan Soen","sebulan lalu",""
"Fenty Indriani","sebulan lalu","Tempatnya bagus, udaranya dingin, anak2 senang bermain disana"
"Alona Kaunang","sebulan lalu","Its a good place just to chill around. You have to pay 50k for entrance fee and 10k for parking, aside that you if you take another games you will pay around 10k-25k"
"Retia Asryn","sebulan lalu","Cocok buat anak-anak muda mudi, gak cocok buat lansia karena naik turun tanjakan meskipun ada lift tapi tetep harus jalan jauh buat menjelajah, ada beberapa kamar mandi yang gak terawat. Tapi selebihnya oke, jajannya banyak, pemandangannya bagus, ada skyride dan kereta mini nya bisa banget buat new experience anak-anak."
"Sm_ Anis12","sebulan lalu","HTM Rp 50.000 di weekend. Bisa menjelajahi negara Asia Afrika. Korea, India, Thailand, Afrika, China, jepang. Ada keterangannya juga. Banyak spot foto yg oke banget. Sewa kostum juga.ada. sewa kostum sekaligus studio foto juga ada. Beragam …"
"Anggraini Tanujaya","sebulan lalu","Nyaman tp wisata ini.hanya saja tidak asa jalan pintas utk lansia.alangkah lebih sempurna bila dibuatkan jalan pi tas berupa lief dari gedung masuk sampai dasar area wisata jalan."
"Gracella Agustin","sebulan lalu",""
"Merry Wangsa","sebulan lalu",""
"Yuliandaru Jr","sebulan lalu","Datang saat libur akhir tahun 2024. Perjalanan di hari senin pagi terpantau dari pusat kota ke sini, perjalanan terbilang cukup lancar, hanya pada saat siang pulang terpantau kendaraan sudah mulai ramai dan macet. …"
"Agus Valin","sebulan lalu","Taman dan lingkungan buatan .
Kebersihan ok.banyak warung tenant tidak terkelola dengan baik
Pengaturan jalur wisata banyak cabang.membingungkan. membuat muter2 dan melewatkan tempat2 tertentu"
"Bundah Rosita","sebulan lalu",""
"Fadlan Setia Rezky","sebulan lalu",""
"Andi Kurniadi","sebulan lalu","Htm 50,000 (exclude Wahana ya beda lagi harganya)
Saya sarankan dateng pas cuacanya cerah aja, kebetulan saya dateng pas hujan dan wahana nya karena pake listrik jd gk bisa dipake 😭 …"
"Muhammad Rizal","sebulan lalu",""
"Asyikin","sebulan lalu","Nice place, lots of attractions and rides to go on for additional payments. Entrance fee 50k per pax + car parking 10k. Worth the fee as the place is maintained."
"Lukman Diarto","sebulan lalu","Tolong hewan peliharaan jangan dibolehkan kan masuk k area wisata
Kr berpotensi menyebarkan najis.
Terimakasih"
"i-Newbie","sebulan lalu",""
"save earth","sebulan lalu","Tempatnya bagus banget, bagi yang belum berkesempatan ke jepang bisa kesini dulu"
"Hendra Suryawijaya","sebulan lalu",""
"Teguh Arifianto","sebulan lalu",""
"Wiwin Kartini","sebulan lalu",""
"Ratih Yusilia Nirmala","sebulan lalu","Tempat wisatanya terkonsep dan tertata dengan baik. Jika lelah bisa naik gondola. Tanamannya juga bagus, indah dipandang.. Kalo ke Bandung tempat ini jadi destinasi wisata yang asiq"
"Si Jay","sebulan lalu","Seru"
"Maria Kristiana","sebulan lalu","Wisata alam yang dilengkapi fasilitas bermain yg sangat menarik. Mengusung tema kebudayaan dari negara Asia dan Africa. Anda dapat menikmati panorama alam yg tersusun apik dengan tanaman hias nan cantik dan rumah khas dari beberapa negara …"
"Pradini Arumsari","sebulan lalu","Salah satu tempat wisata yang aku rekomendasiin, tempatnua enak, banyak spot foto untuk yang suka banget foto😁. Ada beberapa wahana juga, tapi untuk wahana nya kita bayar lagi seperti sky drive, kereta api, perahu bebek. Lalu banyak juga …"
"Dwi Santoz","sebulan lalu",""
"F4D2","sebulan lalu","Tempatnya Lumayan Bagus Tapi Overpriced gak masuk akal Harganya masuk 50k, terus juga Parkir motor 10k ngotak anj pungli juga"
"Ahmad Alawi96","sebulan lalu",""
"Medi Soemedhi","sebulan lalu","Musholanya kotor,tdk tersedia tmpt wudhu yg khusus (jd satu dg toilet)
Di lintasan tmpt jln kurang tersedia tmpt sampah"
"usep yunus","sebulan lalu","Sangat menarik utk liburan"
"Irwan Susanto","sebulan lalu",""
"Erni Yanti","sebulan lalu",""
"Umagda Pelita","sebulan lalu","Tempat yg bagus untuk berfoto, pemandangannya bagus, bangunan perwakilan dari negara asia dan afrika"
"Fikri Zinky","sebulan lalu","Tidak worth it
Tiket 50 per org
Parkir 20 ribu …"
"Suci Yolanda","sebulan lalu","Seru keren tempatnya Oc 👍🏻 …"
"titin Wiliana","sebulan lalu","Banyak spot fto beberapa negara antara lain CINA, KOREA, INDIA,  sewa kostum cina/korea 100rb 1 jam. HTM 50 ribu freeminuman bisa puas jalan2 letak nya didepan farm house jd mudah d cari. Ada mesjid di depan dekat gerbangmasuk, wc nya cukup …"
"Komang gede Nara Utama","sebulan lalu","Tempat wisata untuk foto foto. Rindang dan sejuk. Ada tempat makan nya juga. Cocok untuk liburan keluarga."
"Mahmud Rosid","sebulan lalu","cukup menarik.

Bagus.... sebuah lembah bisa disulap jadi tempat yang menarik untuk tamasya"
"Dady Sampurna","sebulan lalu","Wisata bagus. Jalan dari atas ke bawah dan kembali lagi ke atas lumayan. Saat turun tidak terasa. Tapi saat tanjakan lumayan. Sekedar usul saja untuk gondolanya kalo bisa dari bawah juga ada, untuk memudahkan lansia dan anak kecil yang berkunjung."
"YAHYA ali ALZAHRANI","sebulan lalu",""
"Eva Liana","sebulan lalu","Banyak spot foto bisa juga sewa kostumnya. Untuk melihat spot fotonya harus jalan ke bawah terus nanti keluarnya naik ke atas lagi. Ada juga area permainan. Banyak juga aneka kulinernya"
"Nova Lian","sebulan lalu",""
"Nabila Maul","sebulan lalu",""
"Sheena Fun","sebulan lalu","Keliling asia hanya dalam waktu 2 jam...buka sampe malam
Tempat y  bagus.. htm 50.000
Parkir 20.000"
"nana suyatna","sebulan lalu","Lulus untuk membakar kalori"
"Bagus rahma pribadi","sebulan lalu",""
"Riyani Nur","sebulan lalu","bagusss"
"Imam Ppgom","sebulan lalu",""
"Renny Rahhma","2 bulan lalu","Tidak disarankan utk lansia, karena jalannya jauh bgt. Makanan gak ada yg enak dan mahal. Gak semua tenant bs pembayaran qris"
"lisna","2 bulan lalu",""
"Dea aprilliyani","2 bulan lalu",""
"Anwar Nurdiansyah, ST","2 bulan lalu",""
"agung vijay","2 bulan lalu",""
"Novira Alyu Lestari","2 bulan lalu",""
"Dahlia Yaya","2 bulan lalu",""
"zulvi komalawati","2 bulan lalu",""
"Ade Firmansyah","2 bulan lalu",""
"Dev Vaad","2 bulan lalu",""
"Shinta Anggraini Nurlatifah","2 bulan lalu","Suka suasananya, cuma cape aja pas pulang wkwk lebih bagus kalo gondolanya dari bawah sampai tempat tiket"
"Hafis Nurdin","2 bulan lalu",""
"Iyaw Manz","2 bulan lalu","Bagus worth it lah"
"Kim Hansen","2 bulan lalu",""
"Resa Lusiani","2 bulan lalu","Pengalaman pribadi dateng jam 17.00 bilang nya semua wahana tutup nya jam 19.00 pas kita ke tempat kereta jam 18.05 dibilang sama petugas yg disana  “tutup ko sampe jam 18.00” wah gmna nih ko ga sinkron?"
"Mas Akek","2 bulan lalu",""
"Christopher Bradley","2 bulan lalu","jelek banget!! buat kalian yang mau kesini aku kasih tau, isinya cuma buat foto foto itupun tempat fotonya jelek, cuma kayak dinding di cat sama gapura. tempat main di dalam bayar lagi mahal-mahal sekali main 30rb minimal dan banyak yang 60rb an"
"Pemuda Hijrah","2 bulan lalu",""
"suherman","2 bulan lalu","pungli parkirnya ampun"
"Pongky Yunianto","2 bulan lalu","Gak cocok untuk bawa lansia kesini"
"Deni Maulana","2 bulan lalu","Terlalu banyak sales jualan teriak2 nawarin jualannya jadi liburan ga tenang"
"Bang Owi Sonhaji","2 bulan lalu","Musholla sangat jauh dan sangat tidak layak. Padahal sebagian besar pengunjung itu muslim."
"Agus Salim","2 bulan lalu",""
"saya suka bakso","2 bulan lalu","cocok untuk anak2.. parkir luas... dpt free drink.. saran saya cri tiket diluar spertintraveloka, tiket.com kadang mereka ada discount .. …"
"Andreas Senjaya","2 bulan lalu","Visiting this place is a must for those considered as a 'social media activist'."
"Rochma Wahyuni","2 bulan lalu","Masuk bayar 50k/orang cm ak beli via aplikasi 44k/orang.masih pagi JD lebih fresh dan nyaman.adem,sejuk cm Krang terawat titik2 rumah negara nya cat ny udah g bagus . temptnya beberpa wahana bayar semua ya.ak disini cm sebentar cz anak ak …"
"aria verdin","2 bulan lalu","nice"
"Heri Yanto","2 bulan lalu",""
"Evhie Ardi","2 bulan lalu","Bagus untuk yang suka foto2...spotnya bagus...untuk turun bisa jalan kaki pas naik lebih baik naik gondola..."
"Erwin Wiryadin","2 bulan lalu",""
"Jambek Dahlan","2 bulan lalu",""
"yulia tjhin","2 bulan lalu",""
"Muhammad Shafil","2 bulan lalu",""
"Meni Delia","2 bulan lalu","Keliling dunia. Seru"
"fajarsidik18_","2 bulan lalu",""
"Nyimas Cindy","2 bulan lalu","Kesan pertama kali kesini. Tempat nya bagus, adem dan asri mungkin karna cuaca nya sedang bagus. Gak terlalu panas sama ga mendung, kesini sekitar jam 3 sore. Lingkungan nya bersih. Areanya luas, ada beberapa wahana berbayar yang wajib di cobain. Banyak spot photo.Pokoknya puas kesini😍😍 …"
"Wldnn Taufik","2 bulan lalu",""
"JustReminder “Just_R”","2 bulan lalu",""
"Intan Ariani","2 bulan lalu",""
"FIVELA26 Indo","2 bulan lalu",""
"Endang Hidayat","2 bulan lalu","Sangat cocok dan bagus  tapi sayang utk lahan parkir nya kurang nyaman dan tidak terawat kurang menjaga kebersihan nya itu yg utamama harus lahan parkir di perhatikan karena parkir nya kan ga gratis"
"Rimuru Tempest","2 bulan lalu","Sponsor pemaksaaan"
"edwind adryan","2 bulan lalu","Mantab enak,"
"Apud Mahpudin","2 bulan lalu",""
"Yeni Puu","2 bulan lalu","Harus nya ada pintu tiket untuk yang tinggal redem. Jadi gak ngantri.

Ini full jalan ya guys karena mendaki bukit dan turun bukit. Jadi dibutuhkan tenaga . Kalo untuk orang tua lansia seperti nya kurang cocok"
"Andri Tsi","2 bulan lalu","Wahana yang erik, dengan suasana yang asri"
"Silmi Solihah","2 bulan lalu","Seruuu..."
"Tarry Stawberry","2 bulan lalu","tarrystawberry
bandung, 13 desember 2024"
"Inikan Abdul","2 bulan lalu","Tempatnya bagus saya sering ke sana saat study tour"
"Wildanmu","2 bulan lalu","Mampir Pas Hujan numpang Ngopi, banyak spot foto²"
"Ellya Josephine","2 bulan lalu",""
"iwan rismawan","2 bulan lalu","Great place for vacation"
"arhm2298","2 bulan lalu",""
"Nur Liza","2 bulan lalu",""
"pardi pratama","2 bulan lalu",""
"Nur Kusuma","2 bulan lalu","Mantap tempat nya bagus..dan dingin bgt..daerah lambang sejuk"
"Lovely Oktapiani","2 bulan lalu","Tempat cocok buat kalian yg masih single, atau udh pasangan bahkan yg sudah berkeluarga
Kalian bakal dapet suasan bak di asia-afrika sesungguhnya …"
"Elpina","2 bulan lalu",""
"Endang Kosasih","2 bulan lalu",""
"Regi Riansyah","2 bulan lalu","Ini bagus banget. Seru. Enak untuk ajak anak buat edukasi juga. Banyak spot poto yang seru dan unik. Hanya kalau jalan kaki capek sekali karena naik turun jauuuuuuh banget. Ada fasilitas lift sih dan murceee juga tapi ngeriiiii karena tinggi hahahha"
"May May","2 bulan lalu",""
"Tom Chandra","2 bulan lalu","Bagus untuk liburan"
"Ummi Sari","2 bulan lalu",""
"Angga Adrian","2 bulan lalu",""
"Tiara Safaringga","2 bulan lalu","Tiketnya 50k/orang (kami ber5)dan tiketnya bisa di tukar sosis/minuman. Tapi minusnya pas saya kesini seminggu yg lalu pas di tiket masuknya tiketnya ga dikasih ke pengjung lagi. Sementara untuk tukerin minum/sosis pake tiket. Syukur saya …"
"Oamr Ali","2 bulan lalu","Indah, tapi penataannya buruk"
"Andri Tjoe","2 bulan lalu",""
"Asep Apriadi","2 bulan lalu","Gaya""an kya anak muda jimin & jung kook🤣 …"
"Tarmizi Taher","2 bulan lalu",""
"Slamet Ryanto","2 bulan lalu","Tempatnya kurang terawat...dan gitu gitu aja"
"Aditya Eko Pramudito","2 bulan lalu",""
"Aida Desmaniar Marpaung","2 bulan lalu","Bagus bangett.
Gondolanya di-fungsikan lg dong. Kasian lansia yg dtg harus jalan kaki dari bawah, jauh."
"Meg","2 bulan lalu","Bagus.. menarik tempatnya..
Ada tempat Krea, China, Thailand, tempat Aladdin, dll masih ada lagi..
keren untuk foto2.. bagus saat ga banyak orang, agar puas foto2nya & ga perlu …"
"Fajar Pilantika","2 bulan lalu",""
"Jyouthofficial","2 bulan lalu","Awal Hampir Dapat Genjutsu aku di suruh beli Skincare🗿

Sisanya solid …"
"Dewi Ratih","2 bulan lalu","Caakkeepp.. pake spatu kets yee buat cwi2.. biar ga pegel.. hehe"
"Anggaalif r","2 bulan lalu","wisatanya bagus saya dan istri sangat menikmati, namun yang bikin saya kecewa karena pungli parkir liar, tgl 12 desember saya bayar parkir motor sebesar 20.000, oknum tersebut menggunakan topi coca cola baju putih dan ada beberapa orang …"
"Ary Febriansyah","2 bulan lalu","Keren tempatnya banyak wahana bermain untuk anak-anak"
"ariefbachtiaRP","2 bulan lalu","suka banget hijau tanah terbentang luas dikelola baik..makasih pejabat terkait umkm meningkat...rakyat insyaAllah tersejahterakan...mengecilkan kriminalitas..
#indonesiakeren"
"Dedi Syahrial","2 bulan lalu",""
"Rohmat Jaenuri","2 bulan lalu","Menarik"
"Admin Amanah","2 bulan lalu",""
"Rustandi Vfc","2 bulan lalu",""
"Giarto Kadiyan","2 bulan lalu",""
"hanna nadia","2 bulan lalu","Tolong pelayanannya lebih di benahi.yg ramah sma pengunjung,dtang jauh2 kecewa banget.sy sudah kena musibah ketipu akun ig ny the great asia afrika yg d hek,sy bwa rombongan.d tmpat mlah kena marah terus sma pegawai ny.ga semua masyarakat …"
"Arix Quadrat","2 bulan lalu","Cocok Bawa keluarga berlibur meninkmati Desain alam yg di tata dengan Apik"
"Sony Sofyansyah","2 bulan lalu","Yang jualan mie sama yg jualan es walls/admin coba yg ramah klo cape istrahat...muka ga usah di jelek""in sama castamer ...gda ramah"" nya sama sekali...kembalian nya ga usah pake tangan kiri bisa ga?????"
"dyah retyawidanti","2 bulan lalu","Lokasinya cukup dekat dengan pusat kota, dan tempatnya luas bgt. Lumayan capek ya kalau ngga biasa jalan kaki jauh. Tp cukup menyenangkan utk pertama kali datang kesini"
"Ulfa Anggiasari","2 bulan lalu","Manajemen buruk kami baru kehilangan handphone ditempat ini dan manajemen tidak terbuka tidak ramah pdhal hak konsumen untuk bs lihat cctv dan keterbukaan tdk rekomended ke tempat ini dan ternyata banyak kehilangan handphone juga selain …"
"Linda Aritonang","2 bulan lalu","Bagus ccok buat anak"" tp wahana terllu sedikit"
"Topan Wisata Jogja","2 bulan lalu","Adem"
"khoirun nisa","2 bulan lalu","Parkir motor 10k jujurly kaget."
"Jajang Nurjaman","2 bulan lalu",""
"M. Reza","2 bulan lalu","Tempat yg menarik utk menghibur keluarga."
"WA adzkia","2 bulan lalu","Mencoba beli tiket promonya tapi setelah dibayar katanya tidak bisa diproses. Minta pengembalian disuruh konfirmasi udah berkali2 aku minta tapi katanya minta konfirmasi tanpa mereka memberikan format konfirmasi yang mereka inginkan. Lalu …"
"kemas muhammad iqbal","2 bulan lalu",""
"Rofif Syuja' Mu'tasyim","2 bulan lalu","Tempat nya cocok buat foto-foto"
"Sudarno Ag","2 bulan lalu","Pemandangan memang bagus,  hanya pas naik kembali  memang capek karena nanjak, tapi kalau naik gondole enak .."
"munara group","2 bulan lalu",""
"Dheail shop","2 bulan lalu",""
"Afif Hidayah","2 bulan lalu","Tempat nya bagus, banyak replika bangunan dari berbagai negara di Asia termasuk Jepang.
Rating nya 10/10 dari saya,... …"
"abdulrahman munshi","2 bulan lalu",""
"Rajesh Chandra","2 bulan lalu","Beautiful Picnic Spot for family!"
"Brandon Natanaelc","2 bulan lalu",""
"Ifan Ordinal","2 bulan lalu",""
"aiman arahbaini","2 bulan lalu","Saya terlalu lelah untuk berjalan karena naik setelah turun dan Anda dapat membeli tiket untuk tiga acara"
"jeck Own","2 bulan lalu",""
"Hendra Purba","2 bulan lalu","Tempat nya bagus untuk keluarga"
"vespa excel","2 bulan lalu","Cocok untuk Healing, family Gathering.
Nyaman, asli,"
"Hendro Prayitno","2 bulan lalu","Great Asia Africa di Bandung adalah destinasi wisata yang unik dan menarik bagi pengunjung yang ingin merasakan pengalaman berbeda melalui nuansa budaya dan keindahan alam. Dibuka pada tahun 2019, tempat ini menggabungkan berbagai elemen …"
"sami alghamdi","2 bulan lalu",""
"Mansur Lambor9hini","2 bulan lalu",""
"Edwin Hendrik","2 bulan lalu",""
"Sutanto Tan","2 bulan lalu","Tempatnya sbnr nya bagus. Banyak spot poto2. Cuma sayang nya... Tiap hari kan memang sering hujan apalagi musim hujan spt ini. Jalur nya gak ada canopy. Dan gak ada disediakan payung atau jas hujan. Harus beli. Sangat menyiksa kalo pas …"
"MACHMUDIN","2 bulan lalu",""
"Regi Tito","2 bulan lalu",""
"Dev_RBLX","2 bulan lalu",""
"Muadi Buloh","2 bulan lalu","Rekomendasi Untuk Wisata Keluarga.
Cocok untuk anak² agar menambah pemahaman tentang kebudayaan Asia dan Afrika"
"ARMAN PRASETYA","2 bulan lalu",""
"Arip Hidayat","2 bulan lalu","Lumayan untuk olahraga"
"sabila akhmad","2 bulan lalu",""
"Fathia Rahma","2 bulan lalu","tempatnya bagus dan luas , hanya saja yg ga biasa jalan bakalan cape karna luas"
"Ronald Tanod","2 bulan lalu",""
"Imas vivih Faradilah","2 bulan lalu",""
"Sita","2 bulan lalu","Pagi ini jam 10kurang ketemu salah satu petugas penjaga pintu masuk(bukan petugas loket) yg sangat tidak ramah banget. Padahal sy bukan calo. Hanya berusaha jual 1 tiket yg lebih beli di Traveloka. …"
"Aqib Muhammad","2 bulan lalu",""
"Levinus Christian","2 bulan lalu","Bagus"
"abdullah Ali","2 bulan lalu","Was nice place"
"Delia fang","2 bulan lalu",""
"De Queena Siswo AR","2 bulan lalu",""
"Yudi Permadi","3 bulan lalu",""
"Sisil Ningrum","3 bulan lalu","Unik, tempat mini asia afrika"
"Fitriyatul Adawiya","3 bulan lalu",""
"panca octavian","3 bulan lalu",""
"Indah Kumalasari","3 bulan lalu",""
"Farah Fadhilah Junaedi","3 bulan lalu",""
"Eko Purwanto","3 bulan lalu",""
"Tri Hastuti","3 bulan lalu",""
"Reno Hati","3 bulan lalu",""
"Husni F Ramdan","3 bulan lalu",""
"ANNISA FEBRIANTI","3 bulan lalu","I really love this place..
It's where you can refresh when you want to go away from the city.
There are a lot of trees and attractions too.. …"
"Yoga Supriyanto","3 bulan lalu","ok good"
"fery rivy","3 bulan lalu","berbusana ala Jepang tanpa harus pergi ke Jepang 😁 …"
"Feny Triandini","3 bulan lalu",""
"Dyah Ayu","3 bulan lalu",""
"YouKnowTamz?","3 bulan lalu",""
"Salfa Balut","3 bulan lalu",""
"Firmansyah Teddy","3 bulan lalu",""
"Nor Khairul","3 bulan lalu","Nice family park. Highlighting various countries cultures. Nicely done. My daughter enjoyed her time there. We do too."
"Wandha Yunita","3 bulan lalu","Always love this place. Nice to walk around"
"Rian Riyandi K","3 bulan lalu","Tempatnya seru, asik. Untuk ke sampai ke wahana kita bisa berjalan kaki atau menggunakan lift. Tapi disarankan lebih baik berjalan kaki sambil melihat pemandangan. Banyak wahana, spot foto juga penyewaan kostum."
"Clara Sandra","3 bulan lalu",""
"Bernadus ones puntorojati","3 bulan lalu",""
"Chandra Novri Zahardi Zahardi","3 bulan lalu",""
"Suratmi Suratmi","3 bulan lalu",""
"Fadillah Putri","3 bulan lalu",""
"rano karno","3 bulan lalu",""
"Risca Fadilla","3 bulan lalu",""
"mia dwi cahyani","3 bulan lalu","Kesini udah sore banget sih waktu itu,, iseng mampir harga tiket masuk 50.000 nanti tiketnya bisa di tuker sama minuman atau sosis,, sayang banget kesini waktu hujan,, padahal view-nya bagus parah dan banyak banget spot buat foto,, saran …"
"Muslimah Muslimah","3 bulan lalu","Luas sekali bisa muter-muter, kembali ke lokasi awal bisa naik gondolla. Dilarang membawa makanan dan minuman karena dilokasi sudah disediakan stand-stand makan dan minum."
"Minah Rusminah","3 bulan lalu",""
"Widia Ningsih","3 bulan lalu","Kereeen...bagus buat foto'."
"Abboud Ahmed","3 bulan lalu","Tempatnya sangat indah, layak untuk dikunjungi dan diulangi
Sebuah resor yang meniru beberapa negara Asia dan Afrika
Sangat cocok untuk keluarga …"
"SMAN 27 Bandung Channel","3 bulan lalu","Rekreasi keluarga sekaligus menambah wawasan tentang bangunan dan budaya beberapa negara dengan menyajikan miniaturnya, diantaranya Korea, Jepang, India, Indonesia dan Afrika, Tiketnya ketika saya berkunjung Rp50.000 per orang"
"Kevin Setyabudi","3 bulan lalu","Tempat menarik banyak spot foto dan cukup luas sebaiknya pertimbangkan waktu karena kalau suka foto foto 2 jam tidak cukup di sini"
"Muslimah Muslimah","3 bulan lalu","Luas, bersih dan lumayan lelah untuk mengelilinginya."
"Pengguna Google","3 bulan lalu",""
"Bengkulu Terkini","3 bulan lalu","Bagus"
"AHMAD K.","3 bulan lalu","Sangat mengesankan"
"Eriko Eka Putra","3 bulan lalu","Tempat nya enak sejuk dan gak begitu rame . Lebih di explore lagi permainan bocil nya semoga ya"
"Yang Dewi","3 bulan lalu",""
"M Raffi","3 bulan lalu",""
"علي ابوتركي","3 bulan lalu",""
"Iwan Setiawan","3 bulan lalu",""
"BAYU AJI","3 bulan lalu","Wisata bentuk rumah tinggal Asia dan Afrika, lokasinya di pinggir jurang dan sungai yg sdh di modifikasi"
"Sriwan Agus","3 bulan lalu",""
"Hastyo Prasetyo","3 bulan lalu",""
"Rusly Hambali","3 bulan lalu","Menurut saya..Tempatnya Lumayan bnyk spot foto jga tiket masuk gk sepadan sama wahana dan spot di dalam yang apa² serba bayar lagi!!!..PARKIR JUGA CUMA MOTOR MESTI BAYAR 10RB!!! sangat disayangkan lagi saat setelah jalan dari pintu masuk …"
"Ahmad Yulis","3 bulan lalu","Tempat wisata yang bagus untuk di kunjungi di daerah lembang.
Spot fotonya buanyaaaak sekali.
Siapin memori yang banyak krna satu foto aja ngak cukup.."
"Husna Hafizhah Arsyila","3 bulan lalu",""
"Azkia Wening","3 bulan lalu",""
"Sukardi Sukarno","3 bulan lalu",""
"Haryono","3 bulan lalu",""
"Adhy Swq","3 bulan lalu",""
"Jeffry Azhari Rosman","3 bulan lalu",""
"Salem Yatemy","3 bulan lalu","Tempat yang indah, beragam, dengan pemandangan menarik yang patut untuk dikunjungi"
"billy yan","3 bulan lalu",""
"Asong Don Malik","3 bulan lalu","if ur fit ur welcoming here"
"Arel Ramadianto","3 bulan lalu",""
"صدام الزهراني","3 bulan lalu",""
"Istiqomah Masruri","3 bulan lalu",""
"Lie Michael Lukito","3 bulan lalu",""
"Saeful Rohman","3 bulan lalu","Salah satu rekomendasi tempat untuk foto foto di areal Lembang, banyak spot spot menarik yang bisa diexplore. …"
"Barkah Dian","3 bulan lalu",""
"Muhammad Fawwazir Siddiq","3 bulan lalu",""
"Dedi Hidayanto","3 bulan lalu","Puas liburan disini tiket masuk murah Foto"" di dalem puas"
"Endang Kumalasari","3 bulan lalu",""
"Umi Latifah","3 bulan lalu",""
"Dian Nur A (Dian)","3 bulan lalu","Kesini waktu weekday, fasilitasnya lumayan bagus, dr ornamen² negara² dan fasilitas untuk duduk maupun foto². Kalau bawa anak kecil / lansia agak rawan karena jalanannya naik turun."
"Piristin vlog","3 bulan lalu","Bagus bangeeeet wajib yaaa kalo kesini bawa anak anak seruuu kaya olahraga karena jalannya jauh tp seru foto2"
"Irman Js","3 bulan lalu",""
"iskandar zulkarnain","3 bulan lalu",""
"muhamad mamat","3 bulan lalu",""
"Mohammad Saeed","3 bulan lalu","Tempatnya biasa saja, pengalaman biasa saja, bisa jadi sub kuil kalau punya waktu tambahan..."
"Didauuy","3 bulan lalu",""
"bianca anabrang","3 bulan lalu",""
"Lerina 17","3 bulan lalu","Gk akan kesini lagi deh wkwk,cape banget nanjak nyaa .. harus nya gondola naik keatas itu di gratisin khusus customer tapi harus bayar,lebih enakan orchid 🤭 gk perlu nanjak, setelah flying fox langsung dianter shuttle ke area parkiran, dan …"
"Fany Latifah","3 bulan lalu",""
"abu syauthofaz","3 bulan lalu",""
"Wanda Suryana","3 bulan lalu",""
"KT S","3 bulan lalu","Great views, but heads-up! You'll need to hike uphill when leaving. Which is disappointing that the lift costs 10k, even the stroller use is 25k. These should ideally be free given the location located on slopes."
"Clara Siregar","3 bulan lalu",""
"Agung Wijaya","3 bulan lalu","Ok"
"Muh. Arfa Ananda Mustafa","3 bulan lalu",""
"Andra Setiadi","3 bulan lalu","Mantap"
"Yuliaro Mendrofa","3 bulan lalu",""
"abdul kosim hariri","3 bulan lalu",""
"Garengtrans","3 bulan lalu","Mantap"
"Dita Fitriani","3 bulan lalu",""
"Ras dani","3 bulan lalu",""
"Damian Chang","3 bulan lalu","Things they sell there are pretty overpriced, there was a korean restaurant you can see about 4 minutes into exploring that is called ""I like kimchi"" which I find offensive. The elevator that takes you up costs 10.000 which is not so worth …"
"endah purwaningrum","3 bulan lalu",""
"Egie Latuny","3 bulan lalu","Kurang menarik untuk saat ini"
"indah osi wardani","3 bulan lalu",""
"arik peyexxx","3 bulan lalu",""
"Dhimas Pribadi","3 bulan lalu",""
"Aditya De Rahman","3 bulan lalu",""
"Chindi Andre","3 bulan lalu","Bagus sekali worth it sekali"
